,res_id,name,lat,lng,cuisines,aggregate_rating,rating_text,votes,FirstCuisine,SecondCuisine,ThirdCuisine,FourthCuisine
350,16974128,303 Coffee Company,39.5666100000,-104.8830040000,"Cafe, Desserts",3.7,Good,13,Cafe, Desserts,,
351,16967621,Luna Cafe,40.1724333333,-105.1035694444,"Cafe, Coffee and Tea",3.4,Average,7,Cafe, Coffee and Tea,,
352,16973963,Donut Hut,39.6112333333,-105.0362166667,"Cafe, Donuts",3.8,Good,14,Cafe, Donuts,,
353,16974860,So Perfect Eats,39.7205888889,-104.9532916667,"Sandwich, Cafe",3.4,Average,10,Sandwich, Cafe,,
354,16969581,Krameria Cafe,39.7384027778,-104.9162916667,Cafe,2.6,Average,24,Cafe,,,
355,16969692,LaMar's Donuts and Coffee,39.8773760000,-105.0951210000,"Cafe, Donuts",3.7,Good,12,Cafe, Donuts,,
356,16974615,Lost Coffee,39.3732555556,-104.8585750000,Cafe,3.7,Good,9,Cafe,,,
357,16974393,Ink Coffee,39.7449944444,-104.9915916667,Cafe,3.4,Average,13,Cafe,,,
358,16973779,Novo Coffee,39.7255055556,-104.9670638889,Cafe,3.2,Average,8,Cafe,,,
359,16974456,Bittersweet,39.9784138889,-105.1317750000,"Cafe, Sandwich",3.5,Good,19,Cafe, Sandwich,,
360,16967073,Backstage Coffee,39.7453694444,-104.9972388889,Cafe,3.7,Good,13,Cafe,,,
361,16973734,Espressolé Caffe,39.6011400000,-104.8896190000,Cafe,3.6,Good,10,Cafe,,,
362,17960417,Amethyst Coffee Company,39.7339777778,-104.9876472222,Cafe,3.2,Average,6,Cafe,,,
363,16970192,Metropolis Coffee,39.7337694444,-104.9918222222,Cafe,3.5,Good,13,Cafe,,,
